,category,layers,model_test_accuraccy
0,tasers_baton_aggressive_physical_touch_gun,"[300, 50, 2]",0.7985611510791367
1,tasers_baton_aggressive_physical_touch_gun,"[300, 50, 2]",0.8496732026143791
2,tasers_baton_aggressive_physical_touch_gun,"[300, 50, 2]",0.8417721518987342
3,tasers_baton_aggressive_physical_touch_gun,"[300, 50, 2]",0.9215686274509803
